Config,Depth,Input,Target,Pred,Correct,Reasoning
L8H4R4,depth2,(83 + 71) - (8 + 76),70,,,...
L8H4R4,depth2,(88 + 92) - (63 + 62),55,,,...
L8H4R4,depth2,(63 + 26) + (65 + 50),204,,,...
L8H4R4,depth2,(0 + 45) - (61 + 82),-98,,,...
L8H4R4,depth2,(97 + 9) - (47 - 69),128,,,...
L8H4R4,depth2,64 + (91 - 55),100,,,...
L8H4R4,depth2,(69 + 5) - 71,3,,,...
L8H4R4,depth2,(57 - 76) - (63 - 18),-64,,,...
L8H4R4,depth2,(44 + 52) - (73 + 85),-62,,,...
L8H4R4,depth2,(39 + 45) - (23 + 11),50,,,...
L6H4R4,depth3,((72 - 6) + (37 + 16)) - (60 - (5 + 68)),132,,,...
L6H4R4,depth3,((68 + 56) + (36 + 0)) - ((88 + 51) - (97 + 23)),141,,,...
L6H4R4,depth3,((56 + 70) + (96 - 10)) + (79 + (3 - 2)),292,,,...
L6H4R4,depth3,((88 - 77) + (2 - 24)) - ((12 - 29) - (23 + 21)),50,,,...
L6H4R4,depth3,((44 + 18) + (23 - 92)) - 18,-25,,,...
L6H4R4,depth3,((82 - 76) + (37 - 45)) + ((44 + 0) - (75 + 14)),-47,,,...
L6H4R4,depth3,((34 - 17) - (65 - 39)) + ((88 + 62) + (86 - 68)),159,,,...
L6H4R4,depth3,((62 - 93) + (95 - 35)) + ((2 - 4) - (66 - 20)),-19,,,...
L6H4R4,depth3,((20 + 57) + (92 + 66)) + 20,255,,,...
L6H4R4,depth3,((31 - 47) + (33 + 9)) - ((7 - 31) + 94),-44,,,...
L2H4R16,max,14,14,,,...
L2H4R16,max,((98 - (97 - (70 - 15))) - 36) + 8,28,,,...
L2H4R16,max,16,16,,,...
L2H4R16,max,((((86 + 95) + 88) - ((44 + 17) - 70)) - (((53 + 31) - (82 - 82)) + (23 + (65 + 21)))) - ((((3 + 85) - (84 - 63)) + ((93 + 49) + (35 - 90))) + (((22 + 17) - 75) - (82 - (24 - 91)))),116,,,...
L2H4R16,max,(47 + (80 + ((66 + 23) - 44))) + ((((60 - 27) + 75) + (5 - (2 - 93))) - 51),325,,,...
L2H4R16,max,(16 - ((49 - 86) - 30)) - ((85 - 98) + ((82 - (25 + 6)) + ((74 - 80) + 91))),-40,,,...
L2H4R16,max,52,52,,,...
L2H4R16,max,((43 + 25) + (((9 - 23) + 12) - ((69 + 98) + 88))) + (94 + (((45 + 68) + 92) + ((70 - 21) + 96))),255,,,...
L2H4R16,max,((((48 - 20) + (90 - 64)) + ((54 - 25) + 76)) - (22 + ((85 + 38) + (27 + 54)))) - 2,-69,,,...
L2H4R16,max,19,19,,,...
L4H8R16,depth2,(75 - 86) + (22 + 15),26,,,...
L4H8R16,depth2,(15 - 79) + (59 + 78),73,,,...
L4H8R16,depth2,(54 - 3) - (76 - 98),73,,,...
L4H8R16,depth2,(36 - 64) + 27,-1,,,...
L4H8R16,depth2,(2 - 68) + (34 + 13),-19,,,...
L4H8R16,depth2,(56 - 8) + (71 + 35),154,,,...
L4H8R16,depth2,71 - (21 - 42),92,,,...
L4H8R16,depth2,(41 + 78) - (93 - 11),37,,,...
L4H8R16,depth2,(1 - 43) + (37 + 82),77,,,...
L4H8R16,depth2,(26 - 90) - 37,-101,,,...
L4H2R8,depth2,51 + (24 + 41),116,,,...
L4H2R8,depth2,79 + (49 + 39),167,,,...
L4H2R8,depth2,(93 - 55) - (5 - 0),33,,,...
L4H2R8,depth2,(50 - 61) - (41 - 10),-42,,,...
L4H2R8,depth2,(23 + 84) - (25 - 41),123,,,...
L4H2R8,depth2,26 + (53 + 10),89,,,...
L4H2R8,depth2,(87 + 10) - (64 - 29),62,,,...
L4H2R8,depth2,(15 - 53) + 10,-28,,,...
L4H2R8,depth2,(89 - 67) + (27 - 66),-17,,,...
L4H2R8,depth2,(88 + 45) + (11 - 69),75,,,...
L6H8R16,depth2,(61 - 52) + (3 + 29),41,,,...
L6H8R16,depth2,(33 - 43) - (88 + 33),-131,,,...
L6H8R16,depth2,(49 - 68) + 6,-13,,,...
L6H8R16,depth2,(6 - 72) + 95,29,,,...
L6H8R16,depth2,(41 - 0) + (39 - 4),76,,,...
L6H8R16,depth2,(69 + 32) + (83 + 21),205,,,...
L6H8R16,depth2,(73 + 39) + 30,142,,,...
L6H8R16,depth2,(70 - 60) - (70 - 85),25,,,...
L6H8R16,depth2,(66 - 76) - (25 + 29),-64,,,...
L6H8R16,depth2,(30 - 16) - (4 + 21),-11,,,...
L8H4R32,max,(69 + (((26 + 78) - 21) - 93)) - ((65 + (50 - (79 + 57))) + (((31 + 11) + (98 + 49)) - ((85 - 51) + (12 + 39)))),-24,,,...
L8H4R32,max,((((88 + 93) + (85 - 89)) + ((54 + 44) - 43)) - (8 + ((3 - 78) + 55))) - ((32 - ((13 - 23) - (78 - 93))) - (83 - 15)),285,,,...
L8H4R32,max,((42 + (79 - (12 + 78))) + (23 + 31)) - ((35 - ((86 + 55) - 4)) + ((93 + (85 + 59)) - (87 + 64))),101,,,...
L8H4R32,max,(7 + (32 + 10)) - ((7 - (58 + (95 - 55))) + (((9 - 68) + (43 - 55)) + 19)),192,,,...
L8H4R32,max,81,81,,,...
L8H4R32,max,(((6 + (67 + 94)) - ((98 + 44) + 94)) + (74 - 74)) + ((38 + ((96 - 84) - (75 - 79))) - 16),-31,,,...
L8H4R32,max,98 + ((((71 + 53) - (6 - 24)) + 11) - 68),183,,,...
L8H4R32,max,94,94,,,...
L8H4R32,max,14,14,,,...
L8H4R32,max,72,72,,,...
L4H16R32,depth2,(99 + 81) + (17 + 62),259,,,...
L4H16R32,depth2,(29 + 44) - (75 - 62),60,,,...
L4H16R32,depth2,(30 - 8) - (52 - 11),-19,,,...
L4H16R32,depth2,(58 - 93) - (49 - 42),-42,,,...
L4H16R32,depth2,(99 - 62) + (13 - 13),37,,,...
L4H16R32,depth2,(27 + 41) - (10 - 70),128,,,...
L4H16R32,depth2,(10 + 57) + 79,146,,,...
L4H16R32,depth2,(45 - 48) - (81 - 78),-6,,,...
L4H16R32,depth2,(79 + 94) + (42 + 31),246,,,...
L4H16R32,depth2,(88 - 48) - (39 + 67),-66,,,...
L2H2R16,depth1,40 + 91,131,,,...
L2H2R16,depth1,92 - 47,45,,,...
L2H2R16,depth1,68 - 73,-5,,,...
L2H2R16,depth1,83 - 89,-6,,,...
L2H2R16,depth1,91 + 19,110,,,...
L2H2R16,depth1,82 - 96,-14,,,...
L2H2R16,depth1,60 + 44,104,,,...
L2H2R16,depth1,81 - 39,42,,,...
L2H2R16,depth1,14 + 31,45,,,...
L2H2R16,depth1,43 - 11,32,,,...
L2H2R16,depth4,(((21 - 19) + (68 + 26)) - ((45 - 45) + (61 + 35))) + ((13 - (14 - 20)) - ((61 + 53) + (81 - 89))),-87,,,...
L2H2R16,depth4,(((67 - 20) + (24 - 65)) - 68) + 84,22,,,...
L2H2R16,depth4,(((80 + 24) - (73 + 88)) - ((74 - 74) + (7 + 88))) - (((26 + 35) - (63 - 71)) + ((40 + 21) - (25 + 54))),-203,,,...
L2H2R16,depth4,90 - (35 - ((49 + 75) + (40 - 91))),128,,,...
L2H2R16,depth4,(((23 - 56) + (78 - 44)) + ((81 - 76) - (50 + 15))) - (((9 + 53) - 70) - ((41 - 70) + (23 - 57))),-114,,,...
L2H2R16,depth4,(((82 + 18) - (54 - 17)) + ((80 - 51) - (8 + 37))) - (((95 + 88) - (52 - 89)) + ((12 + 79) + (89 - 69))),-284,,,...
L2H2R16,depth4,(((39 - 20) - 63) - ((60 - 28) + (98 + 40))) + 25,-189,,,...
L2H2R16,depth4,0 - (((96 + 72) - (86 + 59)) + (48 - (63 + 42))),34,,,...
L2H2R16,depth4,(((2 + 75) - 20) - ((2 - 17) - (69 - 46))) + (((78 + 14) - (12 - 3)) - ((91 + 76) - (93 + 26))),130,,,...
L2H2R16,depth4,(((88 - 97) + (55 + 70)) - ((17 + 15) - (88 - 48))) - (((58 + 25) + (12 + 12)) + ((17 - 55) - (40 + 91))),186,,,...
L8H16R4,depth4,(((66 + 39) + (37 + 48)) - ((32 + 2) - (43 - 28))) + ((4 - (74 - 67)) + ((22 + 96) + (89 + 70))),445,,,...
L8H16R4,depth4,(((30 + 67) + 58) - ((60 + 93) + (34 + 13))) - (52 + ((11 - 22) + (38 - 57))),-67,,,...
L8H16R4,depth4,(((15 + 98) - (9 + 68)) - (89 + (6 - 82))) - (((41 - 55) - (63 - 71)) + ((89 + 24) + (89 + 40))),-213,,,...
L8H16R4,depth4,(((78 - 57) - (40 + 50)) + (52 + (98 - 10))) + (((13 + 25) + (72 + 82)) + ((31 - 98) + (66 + 29))),291,,,...
L8H16R4,depth4,95 - (((66 - 63) - (35 - 91)) - ((27 + 50) + (31 + 18))),162,,,...
L8H16R4,depth4,(((16 - 54) + (30 + 94)) + ((14 - 92) + (86 + 25))) + (((12 - 1) + (47 - 21)) - ((98 + 45) + (94 + 50))),-131,,,...
L8H16R4,depth4,(((59 + 75) - (82 + 28)) - ((58 - 58) + (52 - 16))) + (((11 + 73) - (3 - 75)) - ((50 + 0) - (88 - 38))),144,,,...
L8H16R4,depth4,24 + (((72 + 71) + (67 + 44)) - ((16 + 64) - (63 + 20))),281,,,...
L8H16R4,depth4,(((12 - 2) - (65 + 70)) - ((14 + 31) - 7)) - (((4 - 99) + (89 - 89)) + ((61 - 32) + (35 - 24))),-108,,,...
L8H16R4,depth4,(((80 + 4) + (77 + 68)) + ((71 - 86) + (27 - 1))) + (((16 + 79) + (95 + 2)) + (66 - (61 - 84))),521,,,...
L6H16R16,depth2,(60 + 78) - (6 - 41),173,,,...
L6H16R16,depth2,(91 - 98) - (63 - 29),-41,,,...
L6H16R16,depth2,(90 - 60) + (61 + 55),146,,,...
L6H16R16,depth2,(0 + 72) + 11,83,,,...
L6H16R16,depth2,(90 + 45) + (3 - 47),91,,,...
L6H16R16,depth2,(33 - 86) + (84 - 65),-34,,,...
L6H16R16,depth2,(87 + 56) + (73 - 36),180,,,...
L6H16R16,depth2,(74 + 56) - (18 - 12),124,,,...
L6H16R16,depth2,(88 - 24) + (90 + 36),190,,,...
L6H16R16,depth2,(24 + 72) + (46 - 61),81,,,...
L6H16R8,depth4,(((51 + 93) - (42 + 25)) - ((33 - 91) - (80 - 22))) - (((23 - 47) + (50 + 89)) + ((5 + 14) + (31 - 90))),118,,,...
L6H16R8,depth4,94 - (((3 + 11) + 84) + ((31 + 58) - (56 - 96))),-133,,,...
L6H16R8,depth4,(((56 - 28) - (7 + 92)) - ((86 - 50) - (52 - 69))) + ((54 + (17 + 67)) + ((65 + 77) + (81 - 72))),165,,,...
L6H16R8,depth4,(75 - ((93 - 16) - (75 + 13))) + (((66 - 74) + (79 + 64)) - ((54 + 28) - (87 - 88))),138,,,...
L6H16R8,depth4,58 - (((0 + 6) + (35 + 32)) + ((5 + 2) - (60 + 24))),62,,,...
L6H16R8,depth4,((43 - (30 - 16)) + ((93 + 27) - 68)) + ((97 - (57 - 96)) - ((27 - 84) - (66 - 97))),243,,,...
L6H16R8,depth4,(((80 + 47) - (58 + 34)) + ((69 + 97) - (49 + 87))) - (((73 - 46) + (20 - 3)) - ((84 + 99) - (62 + 33))),109,,,...
L6H16R8,depth4,(((66 - 60) + (60 - 19)) + 91) - ((27 - (87 - 47)) - ((33 - 59) - (83 - 25))),67,,,...
L6H16R8,depth4,(((85 - 99) + (81 + 45)) + ((90 - 85) - 56)) - ((98 + (7 - 93)) - ((54 + 96) + (57 + 11))),267,,,...
L6H16R8,depth4,(((2 + 87) + (25 + 84)) - ((13 + 20) + (18 + 87))) + (((46 - 48) - (35 + 7)) + ((44 - 18) + (73 - 62))),53,,,...
L6H4R32,depth2,(77 + 71) - (27 - 72),193,,,...
L6H4R32,depth2,(41 + 36) + (15 - 82),10,,,...
L6H4R32,depth2,(80 + 49) + (11 - 42),98,,,...
L6H4R32,depth2,(79 - 16) - (71 + 46),-54,,,...
L6H4R32,depth2,(47 + 1) - (91 + 85),-128,,,...
L6H4R32,depth2,(83 + 21) - (39 + 55),10,,,...
L6H4R32,depth2,(15 - 90) - (33 + 52),-160,,,...
L6H4R32,depth2,(92 - 51) + 43,84,,,...
L6H4R32,depth2,(12 + 3) + (63 - 41),37,,,...
L6H4R32,depth2,(35 - 86) - (77 + 50),-178,,,...
L2H8R4,depth5,84 + ((((26 + 38) - (89 + 51)) - 40) - (((62 - 5) - (71 - 85)) - (80 - (65 - 81)))),-7,,,...
L2H8R4,depth5,((((38 - 27) + (98 + 75)) - ((20 + 68) + (7 + 51))) - (((25 + 73) - (97 + 15)) + ((53 - 88) + (75 - 36)))) - (43 + (((86 + 71) - (18 + 64)) - ((74 + 1) + (99 + 40)))),144,,,...
L2H8R4,depth5,((((94 - 3) + (72 + 73)) - 90) - (64 + ((5 + 66) + (18 - 40)))) - (32 + (((60 - 25) + (39 - 58)) - ((88 - 82) + (94 - 44)))),41,,,...
L2H8R4,depth5,((((47 - 71) - (30 + 56)) - ((32 - 10) - (16 - 27))) + 27) - ((((4 - 19) + (42 - 57)) - ((90 - 8) + (17 + 57))) - (((40 - 62) - (43 - 31)) - ((45 + 74) - (36 + 75)))),28,,,...
L2H8R4,depth5,((((72 - 13) + (53 + 53)) + ((7 + 21) + (39 - 42))) - (((50 - 56) + (8 + 37)) + ((37 + 26) + (62 + 21)))) + ((((0 + 85) + (75 - 97)) + 11) + (((27 + 72) - (23 - 93)) - 39)),209,,,...
L2H8R4,depth5,((43 + ((15 - 31) - (2 - 34))) + (((75 + 5) - (71 + 60)) - (27 - (84 + 73)))) + ((((6 - 33) + (26 - 29)) - ((10 - 96) - 48)) - (((96 - 66) + (60 + 24)) - ((23 + 76) + (86 + 31)))),344,,,...
L2H8R4,depth5,((((67 - 15) - (3 - 11)) + ((34 + 32) - (10 - 85))) + (((43 + 28) + (41 + 49)) - ((26 + 31) + (86 - 11)))) + ((((34 + 65) + (76 - 67)) - 48) + (((31 + 7) + (54 + 67)) + ((41 + 53) - (24 - 72)))),591,,,...
L2H8R4,depth5,((((18 - 48) - (3 + 80)) + ((1 + 62) + (79 - 9))) + (((28 + 18) + 73) + (4 - (53 - 30)))) - ((((1 - 17) + (23 - 97)) + 98) + 92),20,,,...
L2H8R4,depth5,((((91 + 94) + (85 - 63)) - ((93 - 44) - (70 + 76))) + (42 + ((30 - 13) + (29 + 20)))) + ((((35 + 66) - (17 + 51)) - ((76 - 28) + 46)) + (((66 - 95) + (26 - 33)) + ((51 + 2) + (39 + 81)))),488,,,...
L2H8R4,depth5,((((4 - 54) - 70) + 66) + (((9 + 84) + 99) - ((86 + 15) - (70 + 97)))) + ((((98 - 58) + (36 + 70)) + ((92 - 78) + (37 - 46))) + (((34 - 47) - (44 - 70)) + ((22 - 10) - (60 + 12)))),308,,,...
L4H4R8,depth3,((58 - 79) + (10 + 15)) - ((97 + 65) + (65 + 6)),-229,,,...
L4H4R8,depth3,((93 + 54) - (5 + 87)) - ((69 - 38) + 0),24,,,...
L4H4R8,depth3,((16 + 87) - (2 - 56)) - (37 + (29 + 17)),74,,,...
L4H4R8,depth3,((15 - 0) + (18 - 7)) - ((35 - 33) + (24 - 53)),53,,,...
L4H4R8,depth3,((70 + 7) + (85 + 93)) + ((95 - 34) - (55 - 31)),292,,,...
L4H4R8,depth3,((82 + 72) + (30 - 6)) - ((39 - 56) - (20 + 54)),269,,,...
L4H4R8,depth3,((34 + 51) + (95 + 81)) + ((31 + 12) - (25 + 18)),261,,,...
L4H4R8,depth3,(53 + (31 + 84)) - ((27 + 15) + (8 - 37)),155,,,...
L4H4R8,depth3,((19 - 74) - (4 - 32)) - ((66 + 5) - (92 - 21)),-27,,,...
L4H4R8,depth3,((25 - 66) - (7 + 83)) - ((58 - 52) + 87),-224,,,...
L2H16R8,depth4,63 - (((30 + 79) + (61 + 80)) - 39),-148,,,...
L2H16R8,depth4,(((67 - 57) + (78 + 50)) - (90 - (78 - 81))) + 50,95,,,...
L2H16R8,depth4,41 + (((91 - 41) - (8 - 90)) - ((1 - 45) + (49 + 97))),71,,,...
L2H16R8,depth4,(((56 - 83) - (14 + 47)) - ((21 + 33) - (89 - 19))) + (((32 + 74) - 75) + ((88 - 58) + (5 - 36))),-42,,,...
L2H16R8,depth4,((65 - (44 + 28)) + ((59 + 50) + (99 + 49))) - (((98 - 28) + (9 - 76)) + ((30 + 28) - (1 + 80))),270,,,...
L2H16R8,depth4,(((45 - 28) - (35 + 25)) - 27) + (((8 + 49) - (54 - 65)) - ((24 + 37) + (88 - 31))),-120,,,...
L2H16R8,depth4,(21 - ((7 + 42) - (89 + 18))) - (((73 - 65) - (17 + 36)) + (28 - (99 + 12))),207,,,...
L2H16R8,depth4,(((9 + 89) - (38 - 89)) + 90) - (((65 + 62) - (68 + 27)) - ((74 + 52) - (22 - 57))),368,,,...
L2H16R8,depth4,(((43 + 92) + (68 + 49)) + ((3 - 31) - (41 + 27))) + (((58 + 90) - (86 - 49)) - ((90 - 25) + (6 + 10))),186,,,...
L2H16R8,depth4,(((82 - 22) + (54 - 71)) - ((34 + 83) + (3 - 94))) - 20,-3,,,...
L6H8R16,depth3,((80 + 69) + 39) - ((34 + 86) + (52 - 11)),27,,,...
L6H8R16,depth3,((3 - 17) - (44 + 61)) + ((2 + 45) - (45 - 76)),-41,,,...
L6H8R16,depth3,((1 - 58) - (69 - 29)) + ((81 + 82) + (22 + 79)),167,,,...
L6H8R16,depth3,((86 + 28) - (3 + 59)) + ((50 - 12) - (14 - 65)),141,,,...
L6H8R16,depth3,((96 + 22) + (77 - 56)) + ((93 - 64) + (63 + 32)),263,,,...
L6H8R16,depth3,((1 - 87) - (50 - 41)) - ((6 + 18) + (3 - 6)),-116,,,...
L6H8R16,depth3,96 - ((40 + 21) - (73 - 79)),29,,,...
L6H8R16,depth3,((7 + 41) - 46) - ((56 - 12) + 32),-74,,,...
L6H8R16,depth3,((87 + 98) + (85 - 40)) + ((91 - 37) + (86 + 40)),410,,,...
L6H8R16,depth3,((8 - 65) + (64 + 43)) - ((97 + 96) + (75 - 40)),-178,,,...
L4H4R4,depth4,9 - (((54 + 52) + (56 + 34)) + ((56 + 60) - (7 + 88))),-208,,,...
L4H4R4,depth4,(((76 + 92) + (65 - 30)) + ((60 - 3) + (23 - 81))) - (((10 - 24) + (86 + 42)) + ((56 + 11) + (95 - 43))),-31,,,...
L4H4R4,depth4,(((85 - 63) - (55 + 97)) - (76 + (17 - 87))) - (((67 + 22) - (61 - 98)) + ((81 - 74) - (25 + 15))),-229,,,...
L4H4R4,depth4,(((29 - 22) + (81 - 23)) + 78) - (((62 + 34) - (99 + 22)) + ((56 + 45) + (67 - 22))),22,,,...
L4H4R4,depth4,52 + ((9 - (84 + 70)) + 45),-48,,,...
L4H4R4,depth4,(((25 + 44) - 31) - ((99 - 88) + (64 - 15))) + (((68 - 56) - (14 - 16)) + ((1 + 84) + 3)),80,,,...
L4H4R4,depth4,(((46 - 86) - (20 - 92)) - ((66 + 17) + (29 - 74))) + 88,82,,,...
L4H4R4,depth4,30 + (((68 - 44) + (88 + 91)) - ((84 - 92) - (52 - 97))),196,,,...
L4H4R4,depth4,(72 + ((44 + 50) - (45 + 58))) - (((54 - 5) - (45 + 38)) + (51 + (4 + 76))),-34,,,...
L4H4R4,depth4,(25 - ((14 + 67) + (1 - 89))) + (92 + ((68 - 17) + (15 + 32))),222,,,...
L4H8R8,depth4,(60 + (47 - (7 + 83))) + 15,32,,,...
L4H8R8,depth4,(((60 - 49) - (53 - 99)) + ((86 + 6) - 61)) - (((63 + 97) + 89) - ((86 + 59) - (20 + 82))),-118,,,...
L4H8R8,depth4,(((11 + 88) + (2 - 3)) + ((42 + 97) - (88 - 18))) - (((56 - 74) + (97 + 45)) + ((39 + 24) - (28 - 34))),-26,,,...
L4H8R8,depth4,(((8 - 68) + (30 + 34)) + ((51 - 4) - (14 - 35))) - (77 + ((21 + 28) + (15 + 32))),-101,,,...
L4H8R8,depth4,(((52 + 95) - (21 - 63)) - ((33 + 0) + (50 - 46))) + ((4 - (75 - 36)) + ((54 - 8) - (24 + 99))),40,,,...
L4H8R8,depth4,(((3 + 77) - (16 - 56)) + ((36 + 78) + (28 + 14))) - (((64 + 87) + (55 - 71)) + ((41 - 67) + (89 - 37))),115,,,...
L4H8R8,depth4,(((87 + 40) - 77) + ((3 - 64) - (16 - 63))) - (((79 + 22) + (30 - 60)) + ((56 - 55) + (73 + 53))),-162,,,...
L4H8R8,depth4,(((44 - 32) - (86 - 60)) - ((33 - 84) + (13 - 77))) - (((90 - 42) + (29 - 86)) + ((64 + 59) + (84 + 36))),-133,,,...
L4H8R8,depth4,(((19 - 22) - (84 - 92)) - 6) + (((18 - 15) + (14 + 11)) - 25),2,,,...
L4H8R8,depth4,(((14 + 41) - (20 + 66)) + ((39 + 53) + 43)) - (((99 - 59) + (49 + 21)) + ((32 + 57) + (65 - 77))),-83,,,...
L6H4R8,max,34 - ((((57 - 38) + 42) + ((1 + 4) - (32 + 43))) + 70),-27,,,...
L6H4R8,max,12 - (84 + 32),-104,,,...
L6H4R8,max,89,89,,,...
L6H4R8,max,29,29,,,...
L6H4R8,max,36 + 40,76,,,...
L6H4R8,max,26 - (33 - (51 + (11 + (84 + 14)))),153,,,...
L6H4R8,max,(((78 - (14 + 93)) + ((89 - 33) - 44)) - (92 - ((69 - 20) + (64 + 71)))) - (82 + 43),-50,,,...
L6H4R8,max,27,27,,,...
L6H4R8,max,((((53 + 17) - (98 - 55)) + ((12 - 39) - (99 + 40))) - (68 + ((29 + 18) - 89))) + 92,-73,,,...
L6H4R8,max,78,78,,,...
L2H4R8,depth2,(12 - 97) + (99 + 74),88,,,...
L2H4R8,depth2,(50 + 35) + (55 + 49),189,,,...
L2H4R8,depth2,(40 - 27) - (95 + 29),-111,,,...
L2H4R8,depth2,(44 - 25) + 10,29,,,...
L2H4R8,depth2,(10 - 56) + (36 - 59),-69,,,...
L2H4R8,depth2,(98 + 90) + (30 - 81),137,,,...
L2H4R8,depth2,(59 + 58) - (30 - 47),134,,,...
L2H4R8,depth2,(71 - 60) - (23 + 47),-59,,,...
L2H4R8,depth2,35 - (58 - 3),-20,,,...
L2H4R8,depth2,(75 - 95) + (55 + 23),58,,,...
L8H4R4,depth5,((38 - ((32 - 35) - (75 - 48))) + 97) - 33,132,,,...
L8H4R4,depth5,44 - (61 + (((75 - 47) + (53 + 15)) + ((98 + 68) + (46 + 27)))),-352,,,...
L8H4R4,depth5,((((31 - 74) - (62 + 71)) - ((81 - 47) + (94 + 4))) + (((88 + 71) + (83 + 96)) + ((65 - 64) + (49 + 95)))) + ((((85 + 2) - (82 + 56)) + ((56 + 93) + (96 + 65))) - (((53 + 48) + (55 - 64)) + ((94 + 17) + (11 + 32)))),188,,,...
L8H4R4,depth5,44 + ((((42 - 34) + (14 + 90)) + ((63 - 57) - (3 + 14))) - (((46 - 5) - (19 + 60)) + 83)),100,,,...
L8H4R4,depth5,((((17 - 27) - (58 - 8)) - 19) - (((1 - 14) - (23 - 33)) - 32)) - (60 - (((2 + 77) + (30 - 78)) - 74)),-147,,,...
L8H4R4,depth5,(59 - (((65 + 31) + 36) - ((59 - 68) - (63 + 74)))) - ((((71 - 67) + 45) - ((16 - 40) - (94 - 82))) - (((42 + 51) + (0 - 52)) + ((18 + 6) + (74 + 98)))),-67,,,...
L8H4R4,depth5,((((18 - 5) - (91 - 45)) - ((74 - 42) - (28 - 19))) - (((33 - 14) + (34 - 98)) - 80)) + ((((41 + 88) - (20 + 24)) - (47 + (20 + 68))) + 8),27,,,...
L8H4R4,depth5,((((98 - 28) - (88 + 55)) + 62) + 25) - ((((31 - 13) - (12 - 47)) - 77) - (((89 - 25) - (75 + 7)) + 58)),78,,,...
L8H4R4,depth5,((((29 + 31) - (28 - 51)) + ((77 - 39) + (35 + 36))) + (((14 + 86) + (87 + 52)) + ((2 + 4) - (78 + 61)))) - ((((9 + 64) + (83 - 58)) - ((42 - 66) - (18 + 59))) + (((25 + 87) + 18) - ((43 + 71) + (86 + 25)))),194,,,...
L8H4R4,depth5,((((77 + 48) - (48 + 83)) + ((31 - 91) + (34 - 79))) - (((79 - 50) - (64 - 28)) - ((41 - 4) - 43))) + ((((88 + 30) + (32 - 37)) - ((76 + 78) + (79 - 15))) + (((92 + 94) + (92 + 94)) - ((69 + 84) - (79 - 57)))),26,,,...
L4H16R16,depth2,(12 + 64) - 12,64,,,...
L4H16R16,depth2,(22 + 13) - (59 + 60),-84,,,...
L4H16R16,depth2,(31 + 14) - (17 + 42),-14,,,...
L4H16R16,depth2,(13 + 65) - (27 - 42),93,,,...
L4H16R16,depth2,(30 - 87) + (11 + 13),-33,,,...
L4H16R16,depth2,(62 - 11) + 94,145,,,...
L4H16R16,depth2,26 + (67 + 99),192,,,...
L4H16R16,depth2,(48 - 61) - (69 - 74),-8,,,...
L4H16R16,depth2,(14 - 20) - (32 - 14),-24,,,...
L4H16R16,depth2,(23 - 75) + (24 + 98),70,,,...
L4H8R32,depth1,67 - 58,9,,,...
L4H8R32,depth1,45 - 61,-16,,,...
L4H8R32,depth1,62 - 24,38,,,...
L4H8R32,depth1,3 - 19,-16,,,...
L4H8R32,depth1,53 + 25,78,,,...
L4H8R32,depth1,11 + 13,24,,,...
L4H8R32,depth1,35 + 61,96,,,...
L4H8R32,depth1,88 + 24,112,,,...
L4H8R32,depth1,16 - 37,-21,,,...
L4H8R32,depth1,28 - 70,-42,,,...
L4H8R4,depth3,(24 + (92 + 61)) - (42 + (50 - 6)),91,,,...
L4H8R4,depth3,((23 - 71) + (55 - 72)) - ((7 - 42) + (61 - 49)),-42,,,...
L4H8R4,depth3,((90 + 34) + 94) - ((78 - 39) - (9 + 96)),284,,,...
L4H8R4,depth3,((67 + 40) - (48 + 34)) - ((97 - 59) - (57 - 74)),-30,,,...
L4H8R4,depth3,((23 - 65) + (75 + 67)) + ((65 + 20) - (65 + 47)),73,,,...
L4H8R4,depth3,((80 - 38) - (63 - 22)) - (93 + (17 - 15)),-94,,,...
L4H8R4,depth3,((13 + 44) + (16 + 74)) - 35,112,,,...
L4H8R4,depth3,((90 + 53) - (41 - 15)) - ((91 - 18) + (40 + 45)),-41,,,...
L4H8R4,depth3,((50 + 60) + (23 + 82)) + ((89 - 79) - (95 - 89)),219,,,...
L4H8R4,depth3,(44 + (46 + 17)) + ((55 + 25) - (65 - 46)),168,,,...
L4H8R4,depth5,((((65 + 75) - (28 - 29)) - 57) + (((36 + 74) - (6 - 73)) - ((25 + 28) - (77 + 7)))) - ((((84 + 62) - (25 - 84)) + 8) + (((8 - 42) + (21 - 72)) - ((29 - 95) + (26 - 71)))),53,,,...
L4H8R4,depth5,(27 - (((92 - 97) + (87 + 57)) - 45)) + ((((45 - 37) - (34 - 49)) + ((79 + 71) - (61 - 79))) - (((29 + 47) + (3 - 98)) + (87 + (32 - 54)))),78,,,...
L4H8R4,depth5,((((86 + 59) - (16 - 23)) + 72) + (((57 + 58) + (4 - 18)) - ((69 - 36) + (71 + 69)))) + ((((73 + 6) - (85 - 48)) + ((94 + 5) - (17 - 15))) + (((34 - 78) + (43 - 8)) + 84)),366,,,...
L4H8R4,depth5,((((53 + 9) + (83 + 27)) - 79) - (((11 - 27) + (30 + 23)) + 32)) - ((((86 - 32) - (49 - 52)) + ((52 + 85) - (57 - 64))) - 81),-96,,,...
L4H8R4,depth5,((((91 + 93) - 2) + ((95 + 97) - (62 - 54))) + (((41 + 6) - (94 - 67)) + ((94 + 77) + (92 + 32)))) - 67,614,,,...
